modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
ANN (MLP),idle,current,current_pair_js_fro,mlp,"js, fro",2,0.5,0.655997883877794,0.9560524286815728,0.49929534930541575,0.0014599661902566466,0.9686818942577452,0.7489176915575795,0.6786517344944417,0.6083564899624335,0.842716318600599,2480.0,114.0,2487.0,77970.0
KAN (pykan),idle,legacy,legacy_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.6526367306986418,0.8318777292576419,0.5369438292732032,0.006902822601301163,0.9658161852355781,0.765020503335951,0.6524270440790819,0.6112055489517518,0.8414758686221742,2667.0,539.0,2300.0,77545.0
One-Class SVM,idle,current,current_pair_cos_euclid,ocsvm,"cos, euclid",2,0.2375843735334285,0.6547024693023883,0.9926350245499181,0.4884235957318301,0.0002305209774089442,0.9691876076145982,0.7440965373772106,0.684987649357664,0.5712685463410265,0.8406459213045978,2426.0,18.0,2541.0,78066.0
One-Class SVM,composite,current,current_geom_4,ocsvm,"js, fro, cos, euclid",4,0.1287061757855955,0.6455668284075871,0.7137283589368447,0.5892893094423193,0.015035090415450028,0.9613008874065333,0.7871271095134347,0.6285087803259126,0.5923540117030185,0.8370863241405382,2927.0,1174.0,2040.0,76910.0
ANN (MLP),idle,current,current_univar_fro,mlp,fro,1,0.5,0.6504214963119074,0.9405714285714286,0.4970807328367224,0.0019978484708775167,0.9680437321645736,0.7475414421829225,0.6710318440256936,0.5842401043087817,0.8366076098928308,2469.0,156.0,2498.0,77928.0
ANN (MLP),idle,current,current_univar_euclid,mlp,euclid,1,0.5,0.6504214963119074,0.9405714285714286,0.4970807328367224,0.0019978484708775167,0.9680437321645736,0.7475414421829225,0.6710318440256936,0.5842401043087817,0.8366076098928308,2469.0,156.0,2498.0,77928.0
KAN (pykan),idle,current,current_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.6504214963119074,0.9405714285714286,0.4970807328367224,0.0019978484708775167,0.9680437321645736,0.7475414421829225,0.6710318440256936,0.5984064106633202,0.8366076098928308,2469.0,156.0,2498.0,77928.0
KAN (pykan),idle,current,current_univar_euclid,"width=[1,8,2],grid=3,k=3,steps=25",euclid,1,0.5,0.6504214963119074,0.9405714285714286,0.4970807328367224,0.0019978484708775167,0.9680437321645736,0.7475414421829225,0.6710318440256936,0.5984064106633202,0.8366076098928308,2469.0,156.0,2498.0,77928.0
Random Forest,idle,legacy,legacy_univar_js,rf,js,1,0.5,0.6441365326123691,0.7312020460358056,0.5755989530903967,0.013459863736488909,0.9619631310881266,0.7810695446769539,0.6293362481272446,0.6143880653093984,0.8346929664738365,2859.0,1051.0,2108.0,77033.0
ANN (MLP),idle,current,current_univar_cos,mlp,cos,1,0.5,0.6483993488876831,0.9937629937629938,0.4811757600161063,0.00019210081450745352,0.9687902614056423,0.7404918296007994,0.6801574702447984,0.5831235724954287,0.8334550710028055,2390.0,15.0,2577.0,78069.0
