modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
KAN (pykan),idle,current,current_univar_rare,"width=[1,8,2],grid=3,k=3,steps=25",rare,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.06048236861172954,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),composite,current,current_univar_js,"width=[1,8,2],grid=3,k=3,steps=25",js,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.1501139744452889,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),composite,current,current_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.26368954378762954,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),composite,current,current_univar_cos,"width=[1,8,2],grid=3,k=3,steps=25",cos,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.5095951046315335,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),composite,current,current_univar_euclid,"width=[1,8,2],grid=3,k=3,steps=25",euclid,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.26368954378762954,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),composite,current,current_univar_avg_pool,"width=[1,8,2],grid=3,k=3,steps=25",avg_pool,1,0.5,0.0,0.0,0.0,0.0,0.9401933751550252,0.5,0.0,0.19078801930556344,0.125,0.0,0.0,4967.0,78084.0
KAN (pykan),len,current,current_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.0,0.0,0.0,8.964704677014497e-05,0.9401090895955497,0.4999551764766149,-0.0023155861522927046,0.11555050744553635,0.12495741765278418,0.0,7.0,4967.0,78077.0
KAN (pykan),len,current,current_univar_euclid,"width=[1,8,2],grid=3,k=3,steps=25",euclid,1,0.5,0.0,0.0,0.0,8.964704677014497e-05,0.9401090895955497,0.4999551764766149,-0.0023155861522927046,0.11555050744553635,0.12495741765278418,0.0,7.0,4967.0,78077.0
Random Forest,composite,current,current_univar_rare,rf,rare,1,0.5,0.1468367202156674,0.07965585659551176,0.937588081336823,0.6890912350801701,0.34838833969488625,0.6242484231283265,0.1290779187671926,0.1766238899872108,0.0617168937196895,4657.0,53807.0,310.0,24277.0
XGBoost,composite,current,current_univar_rare,xgb,rare,1,0.5,0.14803592684774378,0.08017414601473544,0.9639621501912623,0.7034987961682291,0.33641979024936486,0.6302316770115166,0.13741943504644144,0.1745751357455362,0.05936926744174276,4788.0,54932.0,179.0,23152.0
Random Forest,len,current,current_univar_rare,rf,rare,1,0.5,0.12758000112479614,0.06857928866181962,0.9134286289510771,0.789150145996619,0.2528687192207198,0.562139241477229,0.07320991508693825,0.12852509561227682,-0.008087739604713234,4537.0,61620.0,430.0,16464.0
XGBoost,len,current,current_univar_rare,xgb,rare,1,0.5,0.12396625177512322,0.06658789392602342,0.8963156835111737,0.7992290353977768,0.2423691466689143,0.5485433240566985,0.05811087675475305,0.08440160549087325,-0.018628079599924047,4452.0,62407.0,515.0,15677.0
KAN (pykan),idle,current,current_univar_avg_pool,falha_treino:ValueError,avg_pool,1,,,,,,,,,,,,,,
